loan_type,loan_purpose,owner_occupancy,loan_amount_000s,action_taken,action_taken_name,property_type,lien_status,applicant_sex,applicant_race_1,applicant_income_000s,county_code,census_tract_minority_pct,debt_to_income_ratio,combined_loan_to_value,hoepa_status,sex_binary,race_white,race_black,race_hispanic,hoepa_binary,loan_type_code,loan_purpose_code
Conventional,Home purchase,Owner-occupied as a principal dwelling,181.5,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,50.4,17,72.8,44.4,62.4,Not applicable,0,0,0,1,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,668.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,154.6,1,16.4,48.4,91.6,Not a HOEPA loan,1,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,113.4,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,42.0,5,93.3,44.1,65.9,Not applicable,0,0,1,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,333.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,105.6,13,17.5,38.8,63.5,Not a HOEPA loan,1,1,0,0,0,0,0
FHA-insured,Cash-out refinancing,Owner-occupied as a principal dwelling,296.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,75.9,5,82.9,35.4,92.8,Not applicable,1,0,1,0,0,1,3
Conventional,Home purchase,Owner-occupied as a principal dwelling,437.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,111.0,11,68.1,44.7,61.0,Not a HOEPA loan,0,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,158.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,41.2,9,22.1,27.9,57.7,Not applicable,1,1,0,0,0,0,1
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,77.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,17.4,3,74.3,43.4,100.1,Not applicable,0,0,1,0,0,1,0
Conventional,Home purchase,Not owner-occupied,208.6,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,72.0,9,54.9,33.1,76.1,Not applicable,0,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,111.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,30.8,13,75.4,49.4,92.0,Not applicable,1,0,1,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,248.4,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,95.8,19,70.3,34.7,105.0,Not applicable,1,0,1,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,351.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,101.8,13,11.9,28.9,93.9,Not applicable,0,1,0,0,0,0,0
Conventional,Refinancing,Not owner-occupied,454.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,109.5,9,31.1,33.5,97.6,Not applicable,0,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,420.9,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,98.6,5,10.9,56.7,91.1,Not applicable,0,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,433.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,107.6,1,30.0,43.0,64.9,Not applicable,1,1,0,0,0,0,1
FSA/RHS-guaranteed,Home purchase,Owner-occupied as a principal dwelling,412.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Not applicable,Male,White,92.0,11,25.1,16.2,104.2,Not applicable,1,1,0,0,0,3,0
Conventional,Home purchase,Not owner-occupied,488.4,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,115.1,9,21.2,65.0,60.9,Not applicable,0,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,283.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,94.5,19,18.3,29.2,105.0,Not applicable,0,1,0,0,0,0,1
FHA-insured,Home purchase,Not applicable,244.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,97.1,9,46.9,40.0,72.4,Not applicable,1,0,0,1,0,1,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,50.0,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,15.0,15,55.1,30.4,103.3,Not applicable,1,0,0,1,0,0,0
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,432.9,3,Application denied,One-to-four family dwelling (other than manufactured housing),Not applicable,Male,White,100.3,19,51.7,42.1,89.8,Not applicable,1,1,0,0,0,0,3
FHA-insured,Refinancing,Owner-occupied as a principal dwelling,83.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,31.6,1,77.7,42.4,80.1,Not a HOEPA loan,1,0,0,1,0,1,1
FHA-insured,Home purchase,Not owner-occupied,177.7,3,Application denied,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,57.1,5,39.0,17.9,101.0,Not applicable,1,1,0,0,0,1,0
VA-guaranteed,Refinancing,Owner-occupied as a principal dwelling,347.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,111.3,1,37.2,35.3,71.1,Not applicable,0,1,0,0,0,2,1
Conventional,Refinancing,Not owner-occupied,484.1,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,130.2,5,10.4,50.3,102.4,Not applicable,0,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,302.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,101.6,19,26.1,26.1,79.5,Not applicable,0,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,158.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,58.9,1,31.2,38.5,76.0,Not applicable,0,1,0,0,0,0,0
Conventional,Home improvement,Owner-occupied as a principal dwelling,184.2,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,Native Hawaiian or Other Pacific Islander,52.9,1,20.9,48.2,76.0,Not applicable,1,0,0,0,0,0,2
Conventional,Home purchase,Owner-occupied as a principal dwelling,295.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,75.3,7,38.6,23.8,67.0,Not a HOEPA loan,1,1,0,0,0,0,0
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,187.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,Black or African American,60.3,3,62.4,43.2,99.7,Not applicable,1,0,1,0,0,2,0
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,161.4,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,55.1,3,22.7,30.0,96.4,Not applicable,0,1,0,0,0,0,3
VA-guaranteed,Cash-out refinancing,Owner-occupied as a principal dwelling,548.8,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,123.5,1,82.9,34.1,64.4,Not applicable,0,0,1,0,0,2,3
Conventional,Home purchase,Owner-occupied as a principal dwelling,90.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Not secured,Male,White,28.9,19,41.0,28.2,105.0,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,196.6,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,55.7,19,57.4,44.1,82.0,Not applicable,0,0,1,0,0,0,0
FSA/RHS-guaranteed,Home improvement,Owner-occupied as a principal dwelling,207.5,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,80.9,3,59.8,49.0,44.5,Not applicable,1,0,0,1,0,3,2
Conventional,Cash-out refinancing,Not owner-occupied,176.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,58.5,1,20.4,48.8,69.8,Not applicable,1,1,0,0,0,0,3
VA-guaranteed,Refinancing,Owner-occupied as a principal dwelling,252.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Not secured,Male,Asian,62.2,11,45.3,32.3,77.1,Not applicable,1,0,0,0,0,2,1
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,200.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,53.2,5,31.7,40.7,75.8,Not a HOEPA loan,1,1,0,0,0,0,3
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,287.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,86.3,7,52.5,45.9,76.7,Not applicable,0,1,0,0,0,2,0
VA-guaranteed,Refinancing,Owner-occupied as a principal dwelling,383.9,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,145.6,1,21.1,20.7,99.1,Not applicable,1,1,0,0,0,2,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,159.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,White,57.2,1,58.7,39.5,91.0,Not applicable,1,1,0,0,0,0,1
FHA-insured,Refinancing,Owner-occupied as a principal dwelling,287.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,90.8,5,32.4,38.2,42.0,Not applicable,1,1,0,0,0,1,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,216.3,4,Application withdrawn by applicant,Manufactured housing,First lien,Male,Black or African American,55.1,3,78.9,37.0,67.9,Not applicable,1,0,1,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,440.8,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,155.0,1,17.2,57.3,80.2,Not applicable,1,1,0,0,0,0,0
FHA-insured,Home improvement,Owner-occupied as a principal dwelling,245.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,87.9,1,22.1,31.9,57.8,Not applicable,1,1,0,0,0,1,2
Conventional,Home purchase,Owner-occupied as a principal dwelling,445.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,111.0,9,52.2,36.6,103.0,Not applicable,1,0,0,0,0,0,0
Conventional,Home improvement,Owner-occupied as a principal dwelling,93.4,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,29.8,1,92.0,29.9,66.0,Not applicable,1,0,0,1,0,0,2
Conventional,Refinancing,Owner-occupied as a principal dwelling,201.8,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),Not secured,Female,Hispanic or Latino,65.5,5,61.1,36.2,105.0,Not applicable,0,0,0,1,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,223.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,50.3,1,49.7,51.4,69.5,Not applicable,1,0,1,0,0,0,0
Conventional,Home improvement,Owner-occupied as a principal dwelling,206.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,55.5,3,37.1,20.9,81.5,Not applicable,1,0,0,0,0,0,2
FHA-insured,Cash-out refinancing,Owner-occupied as a principal dwelling,277.4,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,67.4,11,9.7,43.9,64.1,Not applicable,1,1,0,0,0,1,3
VA-guaranteed,Home improvement,Owner-occupied as a principal dwelling,348.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Asian,78.4,11,14.9,38.5,78.9,Not applicable,0,0,0,0,0,2,2
Conventional,Home purchase,Owner-occupied as a principal dwelling,213.6,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,54.8,5,33.1,43.5,78.5,Not applicable,0,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,307.8,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,94.4,3,44.9,30.9,105.0,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,400.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,110.8,17,71.3,32.4,35.2,Not applicable,1,0,0,1,0,0,0
FHA-insured,Refinancing,Owner-occupied as a principal dwelling,243.8,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,56.6,11,48.9,44.2,99.4,Not applicable,1,1,0,0,0,1,1
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,68.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,26.8,3,42.9,28.6,91.9,Not applicable,1,1,0,0,0,1,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,255.7,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,99.6,5,60.9,40.3,103.6,Not applicable,1,1,0,0,0,1,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,230.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,73.9,1,34.7,30.8,69.1,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,403.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,118.8,5,42.9,24.3,74.3,Not applicable,0,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,641.0,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,157.6,1,42.7,29.8,70.7,Not applicable,1,0,0,0,0,0,1
FHA-insured,Refinancing,Owner-occupied as a principal dwelling,310.1,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,115.6,3,27.8,24.5,97.0,Not applicable,0,1,0,0,0,1,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,237.8,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,66.4,7,89.6,39.6,61.5,Not applicable,0,0,0,1,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,74.0,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,27.0,9,85.7,35.8,105.0,Not applicable,0,0,0,1,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,339.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,129.1,5,41.1,26.9,55.7,Not a HOEPA loan,0,0,0,1,0,0,0
Conventional,Home improvement,Owner-occupied as a principal dwelling,202.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,57.1,9,80.8,19.5,60.2,Not applicable,1,0,1,0,0,0,2
Conventional,Home improvement,Owner-occupied as a principal dwelling,59.6,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,15.0,19,80.1,50.1,98.3,Not applicable,0,0,1,0,0,0,2
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,61.9,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,15.0,17,80.9,49.7,61.0,Not applicable,1,0,1,0,0,1,0
Conventional,Home purchase,Not applicable,51.6,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,16.2,1,69.7,47.2,105.0,Not applicable,1,0,0,1,0,0,0
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,359.2,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,129.6,1,19.3,36.3,99.1,Not applicable,1,1,0,0,0,0,3
Conventional,Home purchase,Owner-occupied as a principal dwelling,359.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,139.6,19,13.7,32.0,99.7,Not applicable,1,1,0,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,174.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,48.4,13,62.3,38.2,73.8,Not applicable,1,0,0,1,0,1,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,286.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,77.2,5,10.0,36.2,51.8,Not applicable,0,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,273.7,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,99.0,3,68.7,46.1,82.7,Not a HOEPA loan,0,1,0,0,0,0,1
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,489.4,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,112.9,3,3.0,28.6,86.4,Not applicable,0,1,0,0,0,1,0
FHA-insured,Refinancing,Owner-occupied as a principal dwelling,381.5,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,88.0,1,84.2,42.6,84.8,Not applicable,0,0,1,0,0,1,1
VA-guaranteed,Home improvement,Owner-occupied as a principal dwelling,228.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Asian,59.1,3,48.9,34.1,64.7,Not applicable,0,0,0,0,0,2,2
Conventional,Refinancing,Owner-occupied as a principal dwelling,348.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,102.2,15,93.7,45.8,77.4,Not applicable,1,0,0,1,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,317.1,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,78.6,13,23.1,46.6,93.7,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,320.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Not applicable,Female,White,78.5,1,23.4,32.2,80.6,Not applicable,0,1,0,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,256.2,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,67.6,7,83.2,47.2,46.9,Not applicable,1,0,1,0,0,1,0
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,321.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,78.4,3,14.0,40.1,101.7,Not applicable,1,1,0,0,0,2,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,252.0,4,Application withdrawn by applicant,Manufactured housing,First lien,Male,White,93.8,11,12.1,31.1,103.9,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,257.7,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,71.3,1,68.3,36.1,61.3,Not applicable,1,0,0,1,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,86.3,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,20.8,5,55.6,26.3,78.5,Not applicable,1,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,246.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,70.2,7,19.7,26.6,90.1,Not applicable,0,1,0,0,0,0,1
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,188.1,2,Application approved but not accepted,Multifamily dwelling,First lien,Female,Black or African American,45.2,1,62.8,37.3,55.5,Not applicable,0,0,1,0,0,1,0
Conventional,Refinancing,Not owner-occupied,310.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,Black or African American,87.2,7,88.1,47.1,76.3,Not a HOEPA loan,0,0,1,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,258.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,80.4,5,16.3,26.7,70.9,Not applicable,0,1,0,0,0,0,0
Conventional,Cash-out refinancing,Not applicable,155.8,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,57.3,5,29.9,41.5,105.0,Not applicable,1,1,0,0,0,0,3
Conventional,Home purchase,Owner-occupied as a principal dwelling,314.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,105.5,1,34.4,37.7,62.0,Not applicable,0,1,0,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,207.4,3,Application denied,Manufactured housing,First lien,Female,Black or African American,51.4,11,60.0,41.7,75.6,Not applicable,0,0,1,0,0,1,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,450.2,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,112.3,1,41.5,28.6,105.0,Not applicable,1,1,0,0,0,0,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,258.5,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,58.9,5,36.8,25.4,88.0,Not applicable,1,0,0,0,0,0,1
Conventional,Home improvement,Owner-occupied as a principal dwelling,152.7,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,44.9,1,74.4,38.3,68.5,Not applicable,1,0,1,0,0,0,2
Conventional,Home purchase,Owner-occupied as a principal dwelling,256.9,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,73.2,5,14.3,46.7,92.8,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,320.9,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,95.1,7,2.4,45.3,49.0,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,154.7,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,52.7,1,86.8,37.5,94.2,Not applicable,1,0,0,1,0,0,0
FHA-insured,Refinancing,Not owner-occupied,192.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,63.7,7,16.4,37.0,61.2,Not applicable,0,1,0,0,0,1,1
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,375.0,4,Application withdrawn by applicant,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,91.5,11,30.6,33.5,67.5,Not applicable,1,1,0,0,0,1,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,144.6,1,Loan originated,Multifamily dwelling,First lien,Male,Hispanic or Latino,45.5,5,83.1,48.1,93.5,Not applicable,1,0,0,1,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,193.4,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,50.5,7,93.4,39.5,71.2,Not applicable,1,0,1,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,331.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,78.3,3,29.2,17.6,83.9,Not a HOEPA loan,1,1,0,0,0,0,1
Conventional,Cash-out refinancing,Not owner-occupied,91.5,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Not secured,Female,Native Hawaiian or Other Pacific Islander,26.0,3,11.2,29.4,69.3,Not applicable,0,0,0,0,0,0,3
Conventional,Home purchase,Owner-occupied as a principal dwelling,230.9,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,76.6,9,84.3,42.8,100.6,Not applicable,0,0,0,1,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,150.0,1,Loan originated,Multifamily dwelling,First lien,Male,White,57.4,5,52.8,23.4,82.1,Not applicable,1,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,479.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,129.6,1,14.2,24.2,51.6,Not applicable,1,1,0,0,0,0,1
FSA/RHS-guaranteed,Refinancing,Owner-occupied as a principal dwelling,212.6,1,Loan originated,Manufactured housing,First lien,Male,Black or African American,64.9,1,74.5,55.3,82.8,Not applicable,1,0,1,0,0,3,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,289.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,84.1,7,52.5,16.4,53.6,Not a HOEPA loan,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,63.9,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Female,Hispanic or Latino,18.9,7,59.7,47.3,70.3,Not applicable,0,0,0,1,0,0,0
Conventional,Cash-out refinancing,Owner-occupied as a principal dwelling,53.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,15.2,17,91.2,29.5,74.0,Not applicable,1,0,1,0,0,0,3
Conventional,Home purchase,Owner-occupied as a principal dwelling,175.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Not secured,Female,White,57.2,13,36.6,46.1,20.0,Not applicable,0,1,0,0,0,0,0
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,274.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,109.3,13,22.7,19.4,64.9,Not applicable,1,1,0,0,0,1,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,50.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),Junior lien,Male,Black or African American,15.0,1,98.1,49.7,102.0,Not a HOEPA loan,1,0,1,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,302.0,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,Black or African American,78.0,1,75.2,54.0,49.7,Not applicable,1,0,1,0,0,0,1
FHA-insured,Home improvement,Owner-occupied as a principal dwelling,279.5,2,Application approved but not accepted,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,92.9,3,19.6,25.2,105.0,Not applicable,0,1,0,0,0,1,2
FHA-insured,Home purchase,Owner-occupied as a principal dwelling,325.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,112.5,3,19.5,14.5,45.0,Not applicable,0,1,0,0,0,1,0
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,142.2,3,Application denied,Multifamily dwelling,First lien,Male,White,44.5,1,11.0,45.5,105.0,Not applicable,1,1,0,0,0,2,0
Conventional,Home improvement,Owner-occupied as a principal dwelling,230.7,1,Loan originated,Manufactured housing,First lien,Female,Asian,80.1,7,39.1,25.5,63.1,Not applicable,0,0,0,0,0,0,2
FHA-insured,Home improvement,Not owner-occupied,334.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,108.7,3,29.2,33.9,59.7,Not a HOEPA loan,1,1,0,0,0,1,2
Conventional,Refinancing,Owner-occupied as a principal dwelling,135.1,5,File closed for incompleteness,Manufactured housing,First lien,Male,White,50.0,19,20.4,39.2,82.9,Not applicable,1,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,533.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,127.8,13,14.2,39.4,62.4,Not applicable,0,1,0,0,0,0,0
Conventional,Refinancing,Owner-occupied as a principal dwelling,268.6,1,Loan originated,Manufactured housing,First lien,Female,White,96.0,13,28.8,37.8,70.1,Not applicable,0,1,0,0,0,0,1
VA-guaranteed,Refinancing,Owner-occupied as a principal dwelling,297.4,1,Loan originated,Manufactured housing,First lien,Female,White,83.5,1,18.8,28.5,75.8,Not applicable,0,1,0,0,0,2,1
Conventional,Refinancing,Owner-occupied as a principal dwelling,269.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,86.4,5,33.4,30.5,90.9,Not a HOEPA loan,1,1,0,0,0,0,1
Conventional,Home purchase,Owner-occupied as a principal dwelling,336.6,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,122.5,11,12.1,45.9,82.0,Not applicable,0,1,0,0,0,0,0
